product_id,n_obs,mae,rmse,mape,avg_sales,mae_pct
SE-SAL502-0795,223,1933.2,2864.06,20.12,24245.9,7.97
SE-SAL502-0796,223,9015.44,12874.04,41.23,35725.94,25.23
SE-SAL502-0910,218,11416.67,19549.51,84.83,66557.34,17.15
SE-SAL502-0921,222,13485.68,19754.84,77.83,90819.26,14.85
SE-SAL502-10098,223,1748.13,2183.68,18.07,33118.73,5.28
SE-SAL502-1313,222,4317.47,8014.6,55.93,20093.4,21.49
SE-SAL502-1351,223,1405.82,1792.94,8.55,14850.99,9.47
SE-SAL502-1936,223,97548.24,171426.11,69.23,497324.04,19.61
SE-SAL502-1937,223,9780.84,18137.13,47.23,51786.17,18.89
SE-SAL502-1938,223,1435.99,2435.41,21.18,13889.86,10.34
SE-SAL502-2073,222,61287.8,78492.8,210.45,205315.22,29.85
SE-SAL502-2075,223,2248.61,3595.24,54.45,23297.68,9.65
SE-SAL502-2917,223,4182.54,5335.7,35.32,14027.62,29.82
SE-SAL502-4202,74,49103.0,66429.55,63.75,149364.24,32.87
SE-SAL502-9726,222,10226.24,14341.35,127.89,46154.46,22.16
SE-SAL503-0803,223,11953.54,15470.19,65.31,69652.92,17.16
SE-SAL503-1075,223,3213.91,5833.58,71.8,25485.85,12.61
SE-SAL503-10895,187,7687.39,10856.52,47.49,24929.77,30.84
SE-SAL503-1934,223,16641.71,25816.8,88.11,92599.12,17.97
SE-SAL503-1935,223,9964.33,15676.89,83.68,52354.27,19.03
SE-SAL503-7750,223,42710.54,78272.14,57.32,210571.33,20.28
SE-SAL504-0002,223,2798.73,4011.55,228.89,14240.26,19.65
SE-SAL504-0130,221,3945.56,4746.52,20.37,27474.33,14.36
SE-SAL504-0155,223,4691.04,5799.34,21.52,70591.87,6.65
SE-SAL504-0940,223,540.02,724.75,15.88,8209.91,6.58
SE-SAL504-0941,223,9514.33,11568.66,96.3,51208.49,18.58
SE-SAL504-0942,223,27023.9,38143.54,69.39,85317.52,31.67
SE-SAL504-1316,193,12949.21,17519.47,89.44,41866.81,30.93
SE-SAL504-2887,147,2642.11,2807.28,425.21,58269.45,4.53
SE-SAL504-7787,223,3954.55,5595.61,66.65,29244.78,13.52
SE-SAL505-0552,203,9249.68,12539.42,42.6,84518.29,10.94
SE-SAL505-10747,181,7628.26,8569.74,188.67,78475.38,9.72
SE-SAL549-10744,182,7082.06,7738.52,2845.59,247110.93,2.87
SE-SAL549-10745,163,1113.65,1588.72,80.69,73151.23,1.52
SE-SAL549-11112,165,3646.13,4627.65,87.88,48903.33,7.46
SE-SAL549-11360,44,29170.71,34317.1,35.14,133603.31,21.83
SE-SAL549-1769,201,3718.09,7134.03,18.33,64722.87,5.74
SE-SAL549-1770,216,107921.51,143233.62,79.34,375218.1,28.76
SE-SAL549-5474,222,3336.38,4296.07,26.85,26667.01,12.51
SE-SFP400-11963,101,9232.77,16449.75,269.33,30744.15,30.03
SE-SFP600-0246,223,7015.8,8575.72,29.36,56066.77,12.51
SE-SFP600-0247,223,12405.24,18417.5,51.0,191891.68,6.46
SE-SFP600-10864,187,5634.36,6137.61,45.36,23806.06,23.67
SE-SFP601-10127,215,817.73,998.14,96.53,8136.28,10.05
SE-SFP601-11107,158,750.33,764.73,1135.46,10638.92,7.05
SE-SFP601-1389,222,2636.2,3166.93,119.85,10529.34,25.04
SE-SFP601-6782,202,686.35,777.77,671.87,16085.0,4.27
SE-SFP601-9675,218,401.42,524.87,212.49,6837.61,5.87
SE-SFP602-2616,223,2724.38,4863.55,38.1,6995.65,38.94
SE-SFP603-0138,223,7507.86,9100.77,29.76,118150.43,6.35
SE-SFP603-0139,223,476.14,741.99,20.65,11639.02,4.09
SE-SFP603-10657,187,3106.5,3730.52,104.49,26698.29,11.64
SE-SFP604-0541,223,10655.81,16726.66,70.59,109589.95,9.72
SE-SFP604-11559,136,12172.13,15210.68,53.17,46780.3,26.02
SE-SFP604-2007,223,1402.58,1972.15,93.66,8141.29,17.23
SE-SFP604-5309,223,494.33,702.04,13.62,8525.53,5.8
SE-SFP606-10800,143,4170.08,5301.33,7171.21,23041.53,18.1
SE-SFP606-10801,126,4169.72,4616.18,4931.82,24340.16,17.13
SE-SFP606-10803,118,3074.84,3568.58,4413.52,17189.27,17.89
SE-SFP606-10804,174,52572.06,64370.77,59.78,294744.38,17.84
SE-SFP606-11139,162,248664.76,301591.29,230.7,219074.79,113.51
SE-SFP606-11299,124,2214.95,3203.44,533.41,58229.68,3.8
SE-SFP606-11311,148,4263.79,4976.85,64.8,16045.18,26.57
SE-SFP606-11312,148,4428.34,7291.51,48.32,17804.32,24.87
SE-SFP606-11313,148,1745.31,2834.04,30.92,12151.19,14.36
SE-SFP606-11317,148,2705.51,4363.51,88.8,12565.47,21.53
SE-SFP606-11318,148,2986.03,4198.61,39.07,18094.85,16.5
SE-SFP606-11319,148,1162.98,1493.04,30.8,12567.75,9.25
SE-SFP606-11366,93,3777.84,4195.01,8580.05,18295.35,20.65
SE-SFP606-11476,76,13418.93,14480.74,15606.17,30045.3,44.66
SE-SFP606-11477,95,2673.23,4805.43,2186.91,67454.66,3.96
SE-SFP606-11478,75,6242.6,6880.07,2371.88,23780.28,26.25
SE-SFP606-11479,91,18891.89,23318.57,32912.81,68334.27,27.65
SE-SFP606-11816,110,40811.1,64778.1,64.66,41912.63,97.37
SE-SFP606-11817,110,6220.8,8543.03,66.48,17521.31,35.5
SE-SFP606-11850,123,27760.42,36262.73,38.8,116264.07,23.88
SE-SFP606-11851,123,17887.78,22971.76,35.22,86302.65,20.73
SE-SFP606-11852,85,2693.79,4080.33,837.43,19782.51,13.62
SE-SFP606-11854,68,14838.64,17121.49,16809.31,46433.52,31.96
SE-SFP606-11855,123,8155.47,11511.25,79.3,66446.5,12.27
SE-SFP606-11991,110,3126.73,4264.92,35.58,13805.66,22.65
SE-SFP606-12100,62,8180.61,8250.12,1575.0,16261.39,50.31
SE-SFP606-1250,190,4592.0,5695.86,30.11,7003.45,65.57
SE-SFP606-1251,156,3613.61,4167.47,63.32,7682.46,47.04
SE-SFP606-1258,182,4179.0,7150.92,50.57,11317.73,36.92
SE-SFP606-12972,73,29366.55,36268.29,81.2,132559.57,22.15
SE-SFP606-12973,71,21094.73,31335.02,47.11,56056.88,37.63
SE-SFP606-1301,223,1499.92,1771.69,35.58,5355.49,28.01
SE-SFP606-13044,60,2458.1,2937.27,447.32,21569.33,11.4
SE-SFP606-13276,44,6258.81,9606.08,182.15,40697.99,15.38
SE-SFP606-1434,187,1285.31,2047.16,104.0,5638.98,22.79
SE-SFP606-3980,223,7614.07,8672.65,77.23,25495.24,29.86
SE-SFP606-6097,213,61256.81,74833.32,153.02,187547.9,32.66
SE-SFP606-7122,218,60663.11,73356.61,87.0,158677.4,38.23
SE-SFP606-7151,205,194820.53,228688.1,34.4,497726.76,39.14
SE-SFP606-7235,148,6137.96,7768.64,69.25,18148.09,33.82
SE-SFP606-7236,142,6783.63,10088.14,63.44,18523.63,36.62
SE-SFP606-7759,157,1797.73,2111.22,2486.83,24425.91,7.36
SE-SFP606-8018,215,146933.24,165172.23,39.15,474269.49,30.98
SE-SFP606-9812,222,3595.86,4265.72,50.68,8162.19,44.06
SE-SFP606-9838,223,591.43,1137.09,18.25,8560.97,6.91
SE-SFP606-9839,223,737.19,965.87,17.54,8890.6,8.29
SE-SFP606-9840,223,909.87,1304.25,73.57,8157.51,11.15
SE-SFP606-9841,223,733.59,916.32,43.99,5787.96,12.67
SE-SFP606-9861,122,779.14,962.77,334.72,27610.74,2.82
SE-SFP606-9862,120,284.0,354.94,112.69,12989.43,2.19
SE-SFP649-0035,223,2804.47,3322.41,42.15,9823.38,28.55
SE-SYE550-1447,223,1261.88,2636.14,62.67,18533.31,6.81
SE-SYE553-1486,222,7745.76,10295.04,158.59,40022.53,19.35
